69,2,Sep 3 2016,7:00 PM,Sat,Southern Methodist,34,@,North Texas,21,,Apogee Stadium - Denton Texas
70,2,Sep 3 2016,7:30 PM,Sat,Southern Mississippi,44,@,Kentucky,35,ESPNU,Commonwealth Stadium - Lexington Kentucky
71,2,Sep 3 2016,3:30 PM,Sat,Texas A&M,31,,(16) UCLA,24,CBS,Kyle Field - College Station Texas
72,2,Sep 3 2016,8:00 PM,Sat,(13) Texas Christian,59,,South Dakota State,41,,Amon G. Carter Stadium - Fort Worth Texas
73,2,Sep 3 2016,3:30 PM,Sat,Texas State,56,@,Ohio,54,CBSSN,Peden Stadium - Athens Ohio
74,2,Sep 3 2016,8:00 PM,Sat,Texas Tech,69,,Stephen F. Austin,17,,Jones AT&T Stadium - Lubbock Texas
75,2,Sep 3 2016,8:00 PM,Sat,Texas-El Paso,38,,New Mexico State,22,,Sun Bowl Stadium - El Paso Texas
76,2,Sep 3 2016,7:00 PM,Sat,Texas-San Antonio,26,,Alabama State,13,,Alamodome - San Antonio Texas
77,2,Sep 3 2016,6:00 PM,Sat,Troy,57,,Austin Peay,17,ESPN3,Veterans Memorial Stadium - Troy Alabama
78,2,Sep 3 2016,7:00 PM,Sat,Tulsa,45,,San Jose State,10,CBSSN,Skelly Field at H.A. Chapman Stadium - Tulsa Oklahoma
79,2,Sep 3 2016,12:30 PM,Sat,Virginia Tech,36,,Liberty,13,ESPN3,Lane Stadium - Blacksburg Virginia
80,2,Sep 3 2016,2:00 PM,Sat,(14) Washington,48,,Rutgers,13,PAC12,Husky Stadium - Seattle Washington
81,2,Sep 3 2016,12:00 PM,Sat,West Virginia,26,,Missouri,11,FS1,Milan Puskar Stadium - Morgantown West Virginia
82,2,Sep 3 2016,12:00 PM,Sat,Western Michigan,22,@,Northwestern,21,ESPNU,Ryan Field - Evanston Illinois
83,2,Sep 3 2016,3:30 PM,Sat,Wisconsin,16,,(5) Louisiana State,14,ABC,Lambeau Field - Green Bay Wisconsin
84,2,Sep 3 2016,10:30 PM,Sat,Wyoming,40,,Northern Illinois,34,CBSSN,War Memorial Stadium - Laramie Wyoming
